file,workflow,role,monthly_hours_low,monthly_hours_high,effort_steps,automated_steps,cadence_only_steps,qualitative_steps,elapsed_days_low,elapsed_days_high,per_unit_rates,live_or_dormant,dormant_capabilities
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W102,Category Manager,3.67,4.67,2,0,0,0,0.0,0.0,0.50-0.75h/category,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W102,Cost Accountant,1.00,1.00,1,0,0,0,0.0,0.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W102,Pricing Analyst,2.00,2.00,1,0,0,0,0.0,0.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W102,System,0.00,0.00,0,1,0,0,0.0,0.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W102,VP Merchandising,0.67,0.67,1,0,0,0,0.0,0.0,0.17-0.17h/category,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W1220,Buyer,0.00,0.00,0,0,0,0,2.0,3.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W1220,Category Manager,0.00,0.00,0,0,0,0,4.0,4.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W1220,Finance Manager,0.00,0.00,0,0,0,0,1.0,1.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W1220,Merchandise Planner,8.66,8.66,1,0,0,0,6.0,7.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W1220,Supply Planning Analyst,8.66,8.66,1,0,0,0,0.0,0.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W1265,Category Manager (Private Label),8.00,8.00,4,0,0,0,0.0,0.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W1265,Marketing Manager,2.00,2.00,1,0,0,0,0.0,0.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W1265,Procurement Manager,5.33,5.33,1,0,0,0,0.0,0.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W1265,Quality Assurance,5.33,5.33,1,0,0,0,0.0,0.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W1265,VP Merchandising,2.00,2.00,1,0,0,0,0.0,0.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W129,Legal,0.00,0.00,0,0,0,0,2.0,2.0,,live,
01-model-company/workflows/VS-01-merchandise-strategy/PA-01.1-assortment-planning-and-product-lifecycle.md,W129,Marketing,0.00,0.00,0,0,0,0,2.0,2.0,,live,
